school, latitude, longitude, sagarin, public, HBCU, R1
Charleston Southern, 32.9783500561406, -80.0684685823592, 42.3133333333333, 0, 0, 0
San Diego, 32.7734961025846, -117.183797873547, 42.1961111111111, 0, 0, 0
SE Missouri State, 37.3091932771759, -89.5314717292785, 41.9172222222222, 1, 0, 0
Fordham, 40.8611805435104, -73.8832712173461, 41.6677777777778, 0, 0, 0
Abilene Christian, 32.4338020067956, -99.6973657608032, 41.626, 0, 0, 0
Northwestern State, 31.7474287136861, -93.0965100969665, 41.555, 1, 0, 0
Rhode Island, 41.4880575336857, -71.5345226391631, 41.5194444444444, 1, 0, 0
Brown, 41.8421454678782, -71.3946461077084, 40.9116666666667, 0, 0, 1
Tennessee State, 36.166927, -86.771469, 40.0055555555556, 1, 1, 0
Idaho State, 42.8700355712198, -112.428524494171, 39.9544444444445, 1, 0, 0
Northern Colorado, 40.4033496582309, -104.705189466476, 39.7961111111111, 1, 0, 0
Incarnate Word, 29.4672834309754, -98.4698613211319, 39.601, 0, 0, 0
Bethune-Cookman, 29.1730751119705, -81.1177679002626, 39.2727777777778, 0, 1, 0
Murray State, 36.6183866173167, -88.3166027069091, 39.1805555555556, 1, 0, 0
Duquesne, 40.4356217823094, -79.9901509070334, 39.175, 0, 0, 0
East Tennessee State, 36.3270867430187, -82.3769417861926, 39.16125, 1, 0, 0
N.C. A&T, 36.0812744166915, -79.7700870037078, 38.7444444444445, 1, 1, 0
Grambling, 32.5208674487851, -92.7214074544663, 38.3533333333333, 1, 1, 0
Tennessee Tech, 36.1775832382055, -85.5065488815307, 38.2327777777778, 1, 0, 0
Lafayette, 40.7007265741943, -75.2102413284663, 38.0761111111111, 0, 0, 0
Dayton, 39.736938, -84.198786658853, 37.7172222222222, 0, 0, 0
Bryant, 41.9240451152858, -71.5380118857875, 37.6766666666667, 0, 0, 0
North Alabama, 34.8078976100366, -87.6804890563457, 37.322, 1, 0, 0
Gardner-Webb, 35.2456686619942, -81.6737427963355, 37.3072222222222, 0, 0, 0
Southern U., 30.5219699680965, -91.1895312981897, 37.0961111111111, 1, 1, 0
Central Conn. State, 41.6951367540605, -72.7614321591481, 37.0483333333333, 1, 0, 0
Florida A&M, 30.426136950087, -84.291427970328, 36.8433333333333, 1, 1, 0
Cornell, 42.4440129576118, -76.4786839485168, 36.6694444444444, 0, 0, 1
Prairie View A&M, 30.0911525909566, -95.9944152832031, 36.6011111111111, 1, 1, 0
Utah Tech, 37.1029173291859, -113.565452914597, 36.5466666666667, 1, 0, 0
Alcorn State, 31.8731844044783, -91.1363124847412, 36.24, 1, 1, 0
Austin Peay, 36.5358122959844, -87.3528528213501, 36.0383333333333, 1, 0, 0
Lamar, 30.043150050345, -94.0699072055309, 35.9069230769231, 1, 0, 0
Hampton, 37.0207061232821, -76.3339555221659, 35.7333333333333, 0, 1, 0
Drake, 41.605006051524, -93.6550220847129, 35.1322222222222, 0, 0, 0
Texas A&M-Commerce, 33.2407901267205, -95.9104363577109, 35.04, 1, 0, 0
Sacred Heart, 41.2194501755771, -73.2456172977671, 34.9505555555555, 0, 0, 0
Lindenwood, 38.7862146909876, -90.4973269957665, 34.74, 0, 0, 0
Columbia, 40.8723189213081, -73.9157140635693, 34.7083333333333, 0, 0, 1
VMI, 37.788676745634, -79.4349975678679, 34.2683333333333, 1, 0, 0
St. Thomas-Mn., 44.9433238189485, -93.1896867422452, 34.205, 0, 0, 0
Jackson State, 32.3296335816193, -90.1797831058502, 33.9933333333333, 1, 1, 0
St. Francis-Pa., 40.5063595611279, -78.6369729898319, 33.7222222222222, 0, 0, 0
NC Central, 35.9756480965212, -78.8995467110898, 33.701875, 1, 1, 0
Norfolk State, 36.8466930489414, -76.2604808807373, 33.6916666666667, 1, 1, 0
Alabama A&M, 34.7832145305281, -86.579303741455, 33.5744444444444, 1, 1, 0
Alabama State, 32.3806859735875, -86.3114156948226, 33.3083333333333, 1, 1, 0
Bucknell, 40.9520773619051, -76.8857456505959, 33.2138888888889, 0, 0, 0
Robert Morris, 40.521172309297, -80.2162992954254, 30.92, 0, 0, 0
Georgetown, 38.9080328116556, -77.075400352478, 30.5188888888889, 0, 0, 1
Wagner, 40.6173245424404, -74.0954312377263, 30.3083333333333, 0, 0, 0
Morgan State, 39.2779653647445, -76.6226944327354, 29.9316666666667, 1, 1, 0
Delaware State, 39.1888260066536, -75.5434942245483, 29.0894444444444, 1, 1, 0
Howard, 38.9256708847653, -77.0212412131183, 29., 0, 1, 0
Presbyterian College, 34.4605571284515, -81.8619809838004, 28.8675, 0, 0, 0
Campbell, 35.4047183451882, -78.7429795892665, 27.984, 0, 0, 0
Merrimack, 42.6674412973159, -71.1234722151522, 26.7675, 0, 0, 0
Marist, 41.7189273847624, -73.9326238632202, 26.7061111111111, 0, 0, 0
Ark.-Pine Bluff, 34.2528433892265, -92.0217780714437, 26.67, 1, 1, 0
Stonehill, 42.0582486842592, -71.0809773731497, 25.78, 0, 0, 0
Houston Christian, 29.7522505600511, -95.352337360382, 25.346, 0, 0, 0
Texas Southern, 29.7522505600511, -95.352337360382, 25.1183333333333, 1, 1, 0
Morehead State, 38.1918679567418, -83.4253692626953, 23.9166666666667, 1, 0, 0
LIU Post, 40.8199593970097, -73.5952455557632, 23.57, 0, 0, 0
Butler, 39.8442975650596, -86.166241911809, 23.1538888888889, 0, 0, 0
Davidson, 35.4995848258246, -80.8434523914253, 20.8744444444444, 0, 0, 0
Miss. Valley State, 33.5093393678006, -90.3437948226928, 20.2855555555556, 1, 1, 0
Valparaiso, 41.465178807414, -87.0478345286491, 17.1133333333333, 0, 0, 0
Stetson, 29.0195078302558, -81.3003186248933, 14.759, 0, 0, 0
